x,y,clickSelects,showSelected,PANEL,group,ymin,ymax,xmin,xmax
0.0519583754877876,0.104842393787117,1950,OK,1,1,0.0454545454545455,0.104842393787117,0.0454545454545452,0.0584622055210301
0.0664113311172138,0.191640018273184,1951,OK,1,1,0.0454545454545455,0.191640018273184,0.0599075010839714,0.0729151611504563
0.08086428674664,0.113978985838282,1952,OK,1,1,0.0454545454545455,0.113978985838282,0.0743604567133976,0.0873681167798825
0.0953172423760662,0.200776610324349,1953,OK,1,1,0.0454545454545455,0.200776610324349,0.0888134123428238,0.101821072409309
0.109770198005492,0.246459570580174,1954,OK,1,1,0.0454545454545455,0.246459570580174,0.10326636797225,0.116274028038735
0.124223153634919,0.342393787117405,1955,OK,1,1,0.0454545454545455,0.342393787117405,0.117719323601676,0.130726983668161
0.138676109264345,0.228186386477844,1956,OK,1,1,0.0454545454545455,0.228186386477844,0.132172279231102,0.145179939297587
0.153129064893771,0.479442667884879,1957,OK,1,1,0.0454545454545455,0.479442667884879,0.146625234860529,0.159632894927013
0.167582020523197,0.159661946094107,1958,OK,1,1,0.0454545454545455,0.159661946094107,0.161078190489955,0.17408585055644
0.182034976152623,0.278437642759251,1959,OK,1,1,0.0454545454545455,0.278437642759251,0.175531146119381,0.188538806185866
0.19648793178205,0.310415714938328,1960,OK,1,1,0.0454545454545455,0.310415714938328,0.189984101748807,0.202991761815292
0.210940887411476,0.260164458656921,1961,OK,1,1,0.0454545454545455,0.260164458656921,0.204437057378233,0.217444717444718
0.225393843040902,0.264732754682503,1962,OK,1,1,0.0454545454545455,0.264732754682503,0.21889001300766,0.231897673074145
0.239846798670328,0.141388761991777,1963,OK,1,1,0.0454545454545455,0.141388761991777,0.233342968637086,0.246350628703571
0.254299754299754,0.223618090452261,1964,OK,1,1,0.0454545454545455,0.223618090452261,0.247795924266512,0.260803584332997
0.268752709929181,0.310415714938328,1965,OK,1,1,0.0454545454545455,0.310415714938328,0.262248879895938,0.275256539962423
0.283205665558607,0.168798538145272,1966,OK,1,1,0.0454545454545455,0.168798538145272,0.276701835525364,0.289709495591849
0.297658621188033,0.205344906349932,1967,OK,1,1,0.0454545454545455,0.205344906349932,0.291154791154791,0.304162451221276
0.312111576817459,0.232754682503426,1968,OK,1,1,0.0454545454545455,0.232754682503426,0.305607746784217,0.318615406850702
0.326564532446886,0.159661946094107,1969,OK,1,1,0.0454545454545455,0.159661946094107,0.320060702413643,0.333068362480128
0.341017488076312,0.196208314298767,1970,OK,1,1,0.0454545454545455,0.196208314298767,0.334513658043069,0.347521318109554
0.355470443705738,0.182503426222019,1971,OK,1,1,0.0454545454545455,0.182503426222019,0.348966613672495,0.36197427373898
0.369923399335164,0.168798538145272,1972,OK,1,1,0.0454545454545455,0.168798538145272,0.363419569301922,0.376427229368407
0.38437635496459,0.251027866605756,1973,OK,1,1,0.0454545454545455,0.251027866605756,0.377872524931348,0.390880184997833
0.398829310594017,0.168798538145272,1974,OK,1,1,0.0454545454545455,0.168798538145272,0.392325480560774,0.405333140627259
0.413282266223443,0.1094106898127,1975,OK,1,1,0.0454545454545455,0.1094106898127,0.4067784361902,0.419786096256685
0.427735221852869,0.123115577889447,1976,OK,1,1,0.0454545454545455,0.123115577889447,0.421231391819627,0.434239051886111
0.442188177482295,0.214481498401096,1977,OK,1,1,0.0454545454545455,0.214481498401096,0.435684347449053,0.448692007515538
0.456641133111721,0.100274097761535,1978,OK,1,1,0.0454545454545455,0.100274097761535,0.450137303078479,0.463144963144964
