colour,x,y,showSelected,PANEL,group,fill
#00FF00,0.679968433478977,0.364455731542885,1,1,1,#00FF00
#00FF00,0.644483078214346,0.457565155403036,1,1,1,#00FF00
#00FF00,0.891530318729696,0.691455348503737,1,1,1,#00FF00
#00FF00,0.802266426417523,0.571923522238934,1,1,1,#00FF00
#00FF00,0.72059728181414,0.655716886996801,1,1,1,#00FF00
#00FF00,0.734882464396397,0.423438012158961,1,1,1,#00FF00
#00FF00,0.676260628221147,0.567078488172406,1,1,1,#00FF00
#00FF00,0.796441770029863,0.559804523138499,1,1,1,#00FF00
#00FF00,0.360932552007294,0.597524772777338,1,1,1,#00FF00
#00FF00,0.481198049248665,0.336549734431805,1,1,1,#00FF00
#00FF00,0.696962225685018,0.685747087328091,1,1,1,#00FF00
#00FF00,0.841665634512642,0.628789085775241,1,1,1,#00FF00
#00FF00,0.507954708457324,0.227268338950817,1,1,1,#00FF00
#00FF00,0.195656492276102,0.455911563986121,1,1,1,#00FF00
#00FF00,0.144337555374127,0.375779087579473,1,1,1,#00FF00
#00FF00,0.846332173446943,0.63196562923617,1,1,1,#00FF00
#00FF00,0.729004561008234,0.169110063795379,1,1,1,#00FF00
#00FF00,0.59249039508555,0.417006107108355,1,1,1,#00FF00
#00FF00,0.745168666978733,0.070317940413265,1,1,1,#00FF00
#00FF00,0.541415546263564,0.785770501643129,1,1,1,#00FF00
#FFFF00,0.62515368927243,0.677033601808545,1,1,3,#FFFF00
#00FF00,0.824760559565269,0.598032471936921,1,1,1,#00FF00
#00FF00,0.245218476454938,0.356723785037562,1,1,1,#00FF00
#00FF00,0.746077928166324,0.621253790268747,1,1,1,#00FF00
#00FF00,0.768861164850836,0.448312890796663,1,1,1,#00FF00
#00FF00,0.16354298330774,0.330462674249987,1,1,1,#00FF00
#00FF00,0.0828438995410998,0.882043609610109,1,1,1,#00FF00
#00FF00,0.0818109733667877,0.513584713101825,1,1,1,#00FF00
#00FF00,0.245695807317253,0.632383368766982,1,1,1,#00FF00
#00FF00,0.586448228091368,0.555891414601264,1,1,1,#00FF00
#BEBEBE,0.679968433478977,0.364455731542885,2,1,4,#BEBEBE
#BEBEBE,0.644483078214346,0.457565155403036,2,1,4,#BEBEBE
#BEBEBE,0.891530318729696,0.691455348503737,2,1,4,#BEBEBE
#BEBEBE,0.802266426417523,0.571923522238934,2,1,4,#BEBEBE
#BEBEBE,0.72059728181414,0.655716886996801,2,1,4,#BEBEBE
#BEBEBE,0.734882464396397,0.423438012158961,2,1,4,#BEBEBE
#BEBEBE,0.676260628221147,0.567078488172406,2,1,4,#BEBEBE
#BEBEBE,0.796441770029863,0.559804523138499,2,1,4,#BEBEBE
#BEBEBE,0.360932552007294,0.597524772777338,2,1,4,#BEBEBE
#BEBEBE,0.481198049248665,0.336549734431805,2,1,4,#BEBEBE
#BEBEBE,0.696962225685018,0.685747087328091,2,1,4,#BEBEBE
#BEBEBE,0.841665634512642,0.628789085775241,2,1,4,#BEBEBE
#BEBEBE,0.507954708457324,0.227268338950817,2,1,4,#BEBEBE
#BEBEBE,0.195656492276102,0.455911563986121,2,1,4,#BEBEBE
#00FF00,0.144337555374127,0.375779087579473,2,1,1,#00FF00
#BEBEBE,0.846332173446943,0.63196562923617,2,1,4,#BEBEBE
#BEBEBE,0.729004561008234,0.169110063795379,2,1,4,#BEBEBE
#BEBEBE,0.59249039508555,0.417006107108355,2,1,4,#BEBEBE
#BEBEBE,0.745168666978733,0.070317940413265,2,1,4,#BEBEBE
#BEBEBE,0.541415546263564,0.785770501643129,2,1,4,#BEBEBE
#BEBEBE,0.62515368927243,0.677033601808545,2,1,4,#BEBEBE
#BEBEBE,0.824760559565269,0.598032471936921,2,1,4,#BEBEBE
#00FF00,0.245218476454938,0.356723785037562,2,1,1,#00FF00
#BEBEBE,0.746077928166324,0.621253790268747,2,1,4,#BEBEBE
#BEBEBE,0.768861164850836,0.448312890796663,2,1,4,#BEBEBE
#00FF00,0.16354298330774,0.330462674249987,2,1,1,#00FF00
#00FF00,0.0828438995410998,0.882043609610109,2,1,1,#00FF00
#00FF00,0.0818109733667877,0.513584713101825,2,1,1,#00FF00
#BEBEBE,0.245695807317253,0.632383368766982,2,1,4,#BEBEBE
#BEBEBE,0.586448228091368,0.555891414601264,2,1,4,#BEBEBE
#00FF00,0.679968433478977,0.364455731542885,3,1,1,#00FF00
#BEBEBE,0.644483078214346,0.457565155403036,3,1,4,#BEBEBE
#00FF00,0.891530318729696,0.691455348503737,3,1,1,#00FF00
#00FF00,0.802266426417523,0.571923522238934,3,1,1,#00FF00
#00FF00,0.72059728181414,0.655716886996801,3,1,1,#00FF00
#BEBEBE,0.734882464396397,0.423438012158961,3,1,4,#BEBEBE
#00FF00,0.676260628221147,0.567078488172406,3,1,1,#00FF00
#00FF00,0.796441770029863,0.559804523138499,3,1,1,#00FF00
#00FF00,0.360932552007294,0.597524772777338,3,1,1,#00FF00
#00FF00,0.481198049248665,0.336549734431805,3,1,1,#00FF00
#00FF00,0.696962225685018,0.685747087328091,3,1,1,#00FF00
#FFFF00,0.841665634512642,0.628789085775241,3,1,3,#FFFF00
#00FF00,0.507954708457324,0.227268338950817,3,1,1,#00FF00
#00FF00,0.195656492276102,0.455911563986121,3,1,1,#00FF00
#00FF00,0.144337555374127,0.375779087579473,3,1,1,#00FF00
#00FF00,0.846332173446943,0.63196562923617,3,1,1,#00FF00
#FFFF00,0.729004561008234,0.169110063795379,3,1,3,#FFFF00
#BEBEBE,0.59249039508555,0.417006107108355,3,1,4,#BEBEBE
#FFFF00,0.745168666978733,0.070317940413265,3,1,3,#FFFF00
#00FF00,0.541415546263564,0.785770501643129,3,1,1,#00FF00
#00FF00,0.62515368927243,0.677033601808545,3,1,1,#00FF00
#00FF00,0.824760559565269,0.598032471936921,3,1,1,#00FF00
#00FF00,0.245218476454938,0.356723785037562,3,1,1,#00FF00
#00FF00,0.746077928166324,0.621253790268747,3,1,1,#00FF00
#BEBEBE,0.768861164850836,0.448312890796663,3,1,4,#BEBEBE
#00FF00,0.16354298330774,0.330462674249987,3,1,1,#00FF00
#FFFF00,0.0828438995410998,0.882043609610109,3,1,3,#FFFF00
#00FF00,0.0818109733667877,0.513584713101825,3,1,1,#00FF00
#00FF00,0.245695807317253,0.632383368766982,3,1,1,#00FF00
#00FF00,0.586448228091368,0.555891414601264,3,1,1,#00FF00
#00FF00,0.679968433478977,0.364455731542885,4,1,1,#00FF00
#00FF00,0.644483078214346,0.457565155403036,4,1,1,#00FF00
#00FF00,0.891530318729696,0.691455348503737,4,1,1,#00FF00
#00FF00,0.802266426417523,0.571923522238934,4,1,1,#00FF00
#00FF00,0.72059728181414,0.655716886996801,4,1,1,#00FF00
#00FF00,0.734882464396397,0.423438012158961,4,1,1,#00FF00
#00FF00,0.676260628221147,0.567078488172406,4,1,1,#00FF00
#00FF00,0.796441770029863,0.559804523138499,4,1,1,#00FF00
#00FF00,0.360932552007294,0.597524772777338,4,1,1,#00FF00
#00FF00,0.481198049248665,0.336549734431805,4,1,1,#00FF00
#00FF00,0.696962225685018,0.685747087328091,4,1,1,#00FF00
#00FF00,0.841665634512642,0.628789085775241,4,1,1,#00FF00
#00FF00,0.507954708457324,0.227268338950817,4,1,1,#00FF00
#00FF00,0.195656492276102,0.455911563986121,4,1,1,#00FF00
#00FF00,0.144337555374127,0.375779087579473,4,1,1,#00FF00
#FFFF00,0.846332173446943,0.63196562923617,4,1,3,#FFFF00
#00FF00,0.729004561008234,0.169110063795379,4,1,1,#00FF00
#00FF00,0.59249039508555,0.417006107108355,4,1,1,#00FF00
#00FF00,0.745168666978733,0.070317940413265,4,1,1,#00FF00
#00FF00,0.541415546263564,0.785770501643129,4,1,1,#00FF00
#00FF00,0.62515368927243,0.677033601808545,4,1,1,#00FF00
#00FF00,0.824760559565269,0.598032471936921,4,1,1,#00FF00
#00FF00,0.245218476454938,0.356723785037562,4,1,1,#00FF00
#00FF00,0.746077928166324,0.621253790268747,4,1,1,#00FF00
#00FF00,0.768861164850836,0.448312890796663,4,1,1,#00FF00
