x,y,showSelected,PANEL,group
0.679968433478977,0.364455731542885,ATL,1,1
0.644483078214346,0.457565155403036,BNA,1,2
0.891530318729696,0.691455348503737,BOS,1,3
0.802266426417523,0.571923522238934,BWI,1,4
0.72059728181414,0.655716886996801,CLE,1,5
0.734882464396397,0.423438012158961,CLT,1,6
0.676260628221147,0.567078488172406,CVG,1,7
0.796441770029863,0.559804523138499,DCA,1,8
0.360932552007294,0.597524772777338,DEN,1,9
0.481198049248665,0.336549734431805,DFW,1,10
0.696962225685018,0.685747087328091,DTW,1,11
0.841665634512642,0.628789085775241,EWR,1,12
0.507954708457324,0.227268338950817,IAH,1,13
0.195656492276102,0.455911563986121,LAS,1,14
0.144337555374127,0.375779087579473,LAX,1,15
0.846332173446943,0.63196562923617,LGA,1,16
0.729004561008234,0.169110063795379,MCO,1,17
0.59249039508555,0.417006107108355,MEM,1,18
0.745168666978733,0.070317940413265,MIA,1,19
0.541415546263564,0.785770501643129,MSP,1,20
0.62515368927243,0.677033601808545,ORD,1,21
0.824760559565269,0.598032471936921,PHL,1,22
0.245218476454938,0.356723785037562,PHX,1,23
0.746077928166324,0.621253790268747,PIT,1,24
0.768861164850836,0.448312890796663,RDU,1,25
0.16354298330774,0.330462674249987,SAN,1,26
0.0828438995410998,0.882043609610109,SEA,1,27
0.0818109733667877,0.513584713101825,SFO,1,28
0.245695807317253,0.632383368766982,SLC,1,29
0.586448228091368,0.555891414601264,STL,1,30
