x,y,PANEL,group
0.0454545454545455,0.803030303030303,1,1
0.121212121212121,0.348484848484848,1,2
0.196969696969697,0.878787878787879,1,3
0.272727272727273,0.651515151515151,1,4
0.348484848484848,0.954545454545455,1,5
0.424242424242424,0.5,1,6
0.5,0.575757575757576,1,7
0.575757575757576,0.424242424242424,1,8
0.651515151515151,0.272727272727273,1,9
0.727272727272727,0.727272727272727,1,10
0.803030303030303,0.121212121212121,1,11
0.878787878787879,0.196969696969697,1,12
0.954545454545455,0.0454545454545455,1,13
