x,y,showSelected,PANEL,group
0.679968433478977,0.364455731542885,1,1,1
0.644483078214346,0.457565155403036,2,1,1
0.891530318729696,0.691455348503737,3,1,1
0.802266426417523,0.571923522238934,4,1,1
0.72059728181414,0.655716886996801,5,1,1
0.734882464396397,0.423438012158961,6,1,1
0.676260628221147,0.567078488172406,7,1,1
0.796441770029863,0.559804523138499,8,1,1
0.360932552007294,0.597524772777338,9,1,1
0.481198049248665,0.336549734431805,10,1,1
0.696962225685018,0.685747087328091,11,1,1
0.841665634512642,0.628789085775241,12,1,1
0.507954708457324,0.227268338950817,13,1,1
0.195656492276102,0.455911563986121,14,1,1
0.144337555374127,0.375779087579473,15,1,1
0.846332173446943,0.63196562923617,16,1,1
0.729004561008234,0.169110063795379,17,1,1
0.59249039508555,0.417006107108355,18,1,1
0.745168666978733,0.070317940413265,19,1,1
0.541415546263564,0.785770501643129,20,1,1
0.62515368927243,0.677033601808545,21,1,1
0.824760559565269,0.598032471936921,22,1,1
0.245218476454938,0.356723785037562,23,1,1
0.746077928166324,0.621253790268747,24,1,1
0.768861164850836,0.448312890796663,25,1,1
0.16354298330774,0.330462674249987,26,1,1
0.0828438995410998,0.882043609610109,27,1,1
0.0818109733667877,0.513584713101825,28,1,1
0.245695807317253,0.632383368766982,29,1,1
0.586448228091368,0.555891414601264,30,1,1
