x,y,PANEL,group
0.0454545454545455,0.0454545454545455,1,1
0.0477915400794578,0.0477915400794578,1,1
0.0501285347043702,0.0501285347043702,1,1
0.0524655293292825,0.0524655293292825,1,1
0.0548025239541949,0.0548025239541949,1,1
0.0571395185791073,0.0571395185791073,1,1
0.0594765132040196,0.0594765132040196,1,1
0.061813507828932,0.061813507828932,1,1
0.0641505024538444,0.0641505024538444,1,1
0.0664874970787567,0.0664874970787567,1,1
0.0688244917036691,0.0688244917036691,1,1
0.0711614863285814,0.0711614863285814,1,1
0.0734984809534938,0.0734984809534938,1,1
0.0758354755784062,0.0758354755784062,1,1
0.0781724702033185,0.0781724702033185,1,1
0.0805094648282309,0.0805094648282309,1,1
0.0828464594531433,0.0828464594531433,1,1
0.0851834540780556,0.0851834540780556,1,1
0.087520448702968,0.087520448702968,1,1
0.0898574433278804,0.0898574433278804,1,1
0.0921944379527927,0.0921944379527927,1,1
0.0945314325777051,0.0945314325777051,1,1
0.0968684272026174,0.0968684272026174,1,1
0.0992054218275298,0.0992054218275298,1,1
0.101542416452442,0.101542416452442,1,1
0.103879411077355,0.103879411077355,1,1
0.106216405702267,0.106216405702267,1,1
0.108553400327179,0.108553400327179,1,1
0.110890394952092,0.110890394952092,1,1
0.113227389577004,0.113227389577004,1,1
0.115564384201916,0.115564384201916,1,1
0.117901378826829,0.117901378826829,1,1
0.120238373451741,0.120238373451741,1,1
0.122575368076653,0.122575368076653,1,1
0.124912362701566,0.124912362701566,1,1
0.127249357326478,0.127249357326478,1,1
0.129586351951391,0.129586351951391,1,1
0.131923346576303,0.131923346576303,1,1
0.134260341201215,0.134260341201215,1,1
0.136597335826128,0.136597335826128,1,1
0.13893433045104,0.13893433045104,1,1
0.141271325075952,0.141271325075952,1,1
0.143608319700865,0.143608319700865,1,1
0.145945314325777,0.145945314325777,1,1
0.148282308950689,0.148282308950689,1,1
0.150619303575602,0.150619303575602,1,1
0.152956298200514,0.152956298200514,1,1
0.155293292825427,0.155293292825427,1,1
0.157630287450339,0.157630287450339,1,1
0.159967282075251,0.159967282075251,1,1
