x,y,showSelected,PANEL,group
0.746597218360267,0.49504139531822,1,1,1
0.711717981824158,0.57770206035507,2,1,1
0.954545454545454,0.78534504756053,3,1,1
0.866806262113212,0.679227107587469,4,1,1
0.786532092922007,0.753617163603324,5,1,1
0.800573272967474,0.547404672191653,6,1,1
0.742952745431837,0.67492578424702,7,1,1
0.861081095593906,0.668468105075247,8,1,1
0.433010729219271,0.701955380489877,9,1,1
0.551221993954599,0.470267014980706,10,1,1
0.763300742774203,0.780277368635874,11,1,1
0.905532499690287,0.729711205810077,12,1,1
0.577521627662509,0.373249200326613,13,1,1
0.270557719009001,0.576234035309327,14,1,1
0.220115351287529,0.505094041995954,15,1,1
0.910119330344246,0.732531276906138,16,1,1
0.794795768949739,0.321617458850421,17,1,1
0.660613376009385,0.541694556857511,18,1,1
0.810683778843829,0.23391180800853,19,1,1
0.610410927144976,0.869076134687265,20,1,1
0.692718754566161,0.772541712265403,21,1,1
0.888916177172086,0.702406105544655,22,1,1
0.319273144188793,0.488177129450575,23,1,1
0.811577509110825,0.723021522725457,24,1,1
0.833971589582925,0.569488086798447,25,1,1
0.238992734892064,0.464863045952778,26,1,1
0.15967205710955,0.954545454545455,27,1,1
0.158656774154384,0.627435091690407,28,1,1
0.319742321851761,0.732902137620312,29,1,1
0.654674414141619,0.664994126388245,30,1,1
